fixture_name,partition,condition,solver,node_name,node_type,server_count,qlen,util,respt,residt,tput
A1_chain_d8_N50,A1,f20off,LN,P8,Processor,1,NaN,0.9999981202408146,NaN,NaN,NaN
A1_chain_d8_N50,A1,f20off,LN,T1,RefTask,1,47.08547132838732,0.0,NaN,0.0,4.82927787140778
A1_chain_d8_N50,A1,f20off,LN,T2,Task,1,47.067872050613964,0.0,NaN,0.0,4.8535401837183585
A1_chain_d8_N50,A1,f20off,LN,T3,Task,1,47.083429821556216,0.0,NaN,0.0,4.878192921689128
A1_chain_d8_N50,A1,f20off,LN,T4,Task,1,47.122249378470215,0.0,NaN,0.0,4.9016056406461015
A1_chain_d8_N50,A1,f20off,LN,T5,Task,1,47.174734880512446,0.0,NaN,0.0,4.922706266601224
A1_chain_d8_N50,A1,f20off,LN,T6,Task,1,47.23515670051839,0.0,NaN,0.0,4.941181616334362
A1_chain_d8_N50,A1,f20off,LN,T7,Task,1,47.30675266665796,0.0,NaN,0.0,4.957852231931849
A1_chain_d8_N50,A1,f20off,LN,T8,Task,1,47.644145904367534,0.9999981202408146,NaN,9.528847092811354,4.999990601204074
A1_chain_d8_N50,A1,f20off,LN,E1,Entry,1,47.08547132838732,NaN,9.750002501856756,NaN,4.82927787140778
A1_chain_d8_N50,A1,f20off,LN,E2,Entry,1,47.067872050613964,NaN,9.69763724394565,NaN,4.8535401837183585
A1_chain_d8_N50,A1,f20off,LN,E3,Entry,1,47.083429821556216,NaN,9.651817912370111,NaN,4.878192921689128
A1_chain_d8_N50,A1,f20off,LN,E4,Entry,1,47.122249378470215,NaN,9.613635374440044,NaN,4.9016056406461015
A1_chain_d8_N50,A1,f20off,LN,E5,Entry,1,47.174734880512446,NaN,9.583089529549206,NaN,4.922706266601224
A1_chain_d8_N50,A1,f20off,LN,E6,Entry,1,47.23515670051839,NaN,9.559486043656094,NaN,4.941181616334362
A1_chain_d8_N50,A1,f20off,LN,E7,Entry,1,47.30675266665796,NaN,9.541783508990278,NaN,4.957852231931849
A1_chain_d8_N50,A1,f20off,LN,E8,Entry,1,47.644145904367534,NaN,9.528847092811354,NaN,4.999990601204074
A1_chain_d8_N50,A1,f20off,LN,AS1,Activity,1,47.08547138250088,0.0,9.750002513062062,0.0,4.829277871407782
A1_chain_d8_N50,A1,f20off,LN,AS2,Activity,1,47.06787210497014,0.0,9.697637255144933,0.0,4.853540183718359
A1_chain_d8_N50,A1,f20off,LN,AS3,Activity,1,47.08342987615893,0.0,9.651817923563334,0.0,4.87819292168913
A1_chain_d8_N50,A1,f20off,LN,AS4,Activity,1,47.122249433307054,0.0,9.613635385627566,0.0,4.901605640646103
A1_chain_d8_N50,A1,f20off,LN,AS5,Activity,1,47.174734935560295,0.0,9.583089540731638,0.0,4.922706266601225
A1_chain_d8_N50,A1,f20off,LN,AS6,Activity,1,47.23515675575098,0.0,9.559486054834105,0.0,4.9411816163343625
A1_chain_d8_N50,A1,f20off,LN,AS7,Activity,1,47.306752722057254,0.0,9.541783520164328,0.0,4.95785223193185
A1_chain_d8_N50,A1,f20off,LN,AS8,Activity,1,47.57946377403779,0.9999981202408146,9.515910642427997,9.528847092811354,4.999990601204073
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,PR,Processor,1,NaN,0.0,NaN,NaN,NaN
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,PS,Processor,1,NaN,1.0001063900185174,NaN,NaN,NaN
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,R1,RefTask,1,18.709030829550805,0.0,NaN,0.0,1.032336012844806
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,R2,RefTask,1,18.70903082955082,0.0,NaN,0.0,1.0323360128448063
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,TS,Task,1,36.12472061275393,1.0001063900185174,NaN,18.060438855952643,2.0002127800370353
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,ER1,Entry,1,18.709030829550805,NaN,18.123005103730105,NaN,1.032336012844806
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,ER2,Entry,1,18.70903082955082,NaN,18.12300510373011,NaN,1.0323360128448063
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,ES1,Entry,1,18.062360306376963,NaN,18.06043885595265,NaN,1.0001063900185172
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,ES2,Entry,1,18.06236030637697,NaN,18.060438855952643,NaN,1.0001063900185179
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,A1,Activity,1,18.709030849187396,0.0,18.12300512275161,0.0,1.0323360128448063
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,A2,Activity,1,18.709030849187407,0.0,18.123005122751618,0.0,1.0323360128448065
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,AS1,Activity,1,17.9997871615363,0.5000531950092585,17.99787236756185,9.03021942797632,1.000106390018517
A2_multiclassA_2refs_loadLow_N20,A2,f20off,LN,AS2,Activity,1,17.999787161536315,0.5000531950092589,17.997872367561847,9.030219427976323,1.0001063900185179
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,PR,Processor,1,NaN,0.0,NaN,NaN,NaN
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,PS,Processor,1,NaN,1.0000399935821673,NaN,NaN,NaN
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,R1,RefTask,1,21.775404318439513,0.0,NaN,0.0,0.3738401638066473
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,R2,RefTask,1,21.775404318439517,0.0,NaN,0.0,0.3738401638066474
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,TS,Task,1,38.75004993844157,1.0000399935821673,NaN,58.12275037066961,0.6666933290547783
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,ER1,Entry,1,21.775404318439513,NaN,58.24789957480839,NaN,0.3738401638066473
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,ER2,Entry,1,21.775404318439517,NaN,58.24789957480839,NaN,0.3738401638066474
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,ES1,Entry,1,19.37502496922078,NaN,58.12275037066963,NaN,0.333346664527389
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,ES2,Entry,1,19.37502496922079,NaN,58.12275037066961,NaN,0.3333466645273892
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,A1,Activity,1,21.775404331491146,0.0,58.24789960972071,0.0,0.3738401638066474
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,A2,Activity,1,21.775404331491156,0.0,58.24789960972071,0.0,0.3738401638066476
A2_multiclassA_2refs_loadHigh_N20,A2,f20off,LN,AS1,Activity,1,19.333306640801528,0.5000199967910834,57.997600390607886,29.061375185334796,0.3333466645273889
