fixture_name,partition,condition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes
A4_replyThenLog,A4,f17_f24off,3,13,53,377,2,27,0.001869542403480529,Infinity,match-ln,
A4_multiclass_multientry,A4,f17_f24off,2,24,53,1414,9,34,0.0029704995920316673,Infinity,match-ln,
A5_replyAtBound,A5,f17_f24off,3,13,53,373,2,25,0.013407702493180615,Infinity,match-ln,
C1_fanOut4_caller_c1,C1,f17_f24off,9,30,53,1017,7,25,0.3032292953102441,Infinity,match-neither,
C1_fanOut4_caller_c2,C1,f17_f24off,9,29,53,951,7,26,0.30322929531024384,Infinity,match-neither,
A2_multiclassA_2refs_loadLow_N20,A2,f17_f24off,2,17,53,798,9,25,1.1822905059019936E-4,Infinity,match-ln,
A2_multiclassA_2refs_loadLow_N50,A2,f17_f24off,2,15,53,841,10,22,4.4189298629087833E-4,Infinity,match-ln,
A2_multiclassC_2refs_think_4to1_N20,A2,f17_f24off,2,16,53,1102,10,26,0.0026199704343522335,Infinity,match-ln,
A2_multiclassC_2refs_think_4to1_N50,A2,f17_f24off,2,18,53,1111,10,29,8.745258894391715E-4,Infinity,match-ln,
C3_multiclassMultiEntry_2refs,C3,f17_f24off,2,17,53,697,9,26,0.0017895176634592802,Infinity,match-ln,
C3_multiclassMultiEntry_3refs,C3,f17_f24off,2,24,53,1074,9,24,0.017838030039096186,Infinity,match-ln,
B_scaleAxis_tasks10_chain,B,f17_f24off,3,41,53,5359,21,44,1.8220381141459866E-4,Infinity,match-ln,
C4_nearSaturation,C4,f17_f24off,3,9,53,690,12,30,0.023262120170923516,Infinity,match-ln,
A3_multiserver_c2_loadLow,A3,f17_f24off,3,9,53,386,6,29,8.971813918930354E-9,Infinity,match-ln,
B_scaleAxis_tasks60_chain,B,f17_f24off,3,555,201,169107,50,429,0.003164909231250275,Infinity,match-ln,
A4_databaseBackend,A4,f17_f24off,4,22,53,1125,9,35,2.025474332613784E-8,Infinity,match-ln,
B_scaleAxis_tasks20_fanout,B,f17_f24off,10,710,81,33386,6,314,0.5944015949902322,Infinity,match-neither,
A5_andForkMultiAct,A5,f17_f24off,2,235,53,12708,8,26,4.377249605331319E-4,Infinity,match-ln,
A3_multiserver_c4_loadLow,A3,f17_f24off,3,9,53,269,6,20,8.843923331036364E-9,Infinity,match-ln,
A2_multiclassC_2refs_think_2to1_N20,A2,f17_f24off,2,16,53,786,9,24,8.205438235700965E-4,Infinity,match-ln,
A2_multiclassC_2refs_think_2to1_N50,A2,f17_f24off,2,15,53,828,10,23,4.361744390904642E-4,Infinity,match-ln,
B_scaleAxis_tasks40_chain,B,f17_f24off,3,215,161,63512,50,150,0.0022165153587857755,Infinity,match-ln,
B_scaleAxis_tasks40_fanout,B,f17_f24off,9,3701,161,168849,6,5212,0.7234326743937365,Infinity,match-neither,
A1_chain_d3_N50,A1,f17_f24off,3,17,53,2481,12,35,2.134757490402767E-6,Infinity,match-ln,
A1_chain_d5_N20,A1,f17_f24off,3,24,53,1235,14,36,3.714132185728673E-8,Infinity,match-ln,
A1_chain_d5_N50,A1,f17_f24off,3,26,53,3988,15,28,2.1279590799571067E-6,Infinity,match-ln,
A1_chain_d8_N50,A1,f17_f24off,3,33,53,5933,19,39,5.2280851766185225E-6,Infinity,match-ln,
C7_deepChainAllExp,C7,f17_f24off,3,21,56,2051,50,39,1.3595630692004566,Infinity,match-neither,
A5_seqMultiEntry,A5,f17_f24off,3,18,53,887,9,33,1.7841518981792872E-8,Infinity,match-ln,
A5_andForkThreeWay,A5,f17_f24off,2,292,53,18747,9,38,2.3517507436495323E-4,Infinity,match-ln,
C1_fanOut3_caller_c1,C1,f17_f24off,9,34,53,1079,8,30,0.36258688296200503,Infinity,match-neither,
C1_fanOut3_caller_c2,C1,f17_f24off,9,25,53,1116,8,38,0.36258688296200503,Infinity,match-neither,
C4_predicateThreshold,C4,f17_f24off,2,13,53,411,5,34,1.3333333282048427E-8,Infinity,match-ln,
B_scaleAxis_tasks5_fanout,B,f17_f24off,10,51,53,3831,6,31,0.2812295256942146,Infinity,match-neither,
A5_combinedDag,A5,f17_f24off,2,996,53,39601,,,0.009836347340206995,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_f7026382.lqnx:34: error: Symbol \
A4_webApplication,A4,f17_f24off,4,27,53,2428,6,29,1.8901380285144722E-8,Infinity,match-ln,
C7_deepChainMultiCall,C7,f17_f24off,4,22,53,1416,14,28,0.32836720201172453,Infinity,match-neither,
A5_orForkThreeWay,A5,f17_f24off,3,13,53,457,,,2.026260427220642E-8,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_9fc13b7e.lqnx:19: error: Task \
B_scaleAxis_tasks60_fanout,B,f17_f24off,8,18760,201,672850,5,20747,0.8084267892424358,Infinity,match-neither,
B_scaleAxis_tasks20_chain,B,f17_f24off,3,89,81,15751,34,55,0.004507340536968295,Infinity,match-ln,
C5_satFanout_tasks5,C5,f17_f24off,26,33,81,7956,42,42,0.44067071425633886,Infinity,match-neither,
