fixture_name,partition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,lqns_rest_call_ms,lqns_elapsed_ms,lqns_local_parse_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes,n_runs,sim_time_ms_median,sim_time_ms_min,sim_time_ms_q25,sim_time_ms_q75,sim_time_ms_max,ln_time_ms_median,ln_time_ms_min,ln_time_ms_q25,ln_time_ms_q75,ln_time_ms_max,lqns_time_ms_median,lqns_time_ms_min,lqns_time_ms_q25,lqns_time_ms_q75,lqns_time_ms_max
A2_multiclassB_2refs_demands_3to1_N50,A2,3,10.0,53,905.0,10.0,22.0,,,,0.00046846225916296334,0.7448478498387786,match-ln,,3,10.0,10.0,10.0,16.0,22.0,905.0,894.0,899.5,937.0,969.0,22.0,22.0,22.0,23.5,25.0
A2_multiclassB_2refs_demands_5to1_N20,A2,3,12.0,53,1022.0,9.0,30.0,,,,0.0017799782098585,0.8216312877830878,match-ln,,3,12.0,12.0,12.0,18.0,24.0,1022.0,974.0,998.0,1154.0,1286.0,30.0,27.0,28.5,32.0,34.0
A2_multiclassB_2refs_demands_5to1_N50,A2,3,10.0,53,1052.0,10.0,29.0,,,,0.0004958272541139544,0.8287564552074922,match-ln,,3,10.0,9.0,9.5,16.0,22.0,1052.0,966.0,1009.0,1139.5,1227.0,29.0,24.0,26.5,31.0,33.0
A2_multiclassC_2refs_think_2to1_N20,A2,3,11.0,53,1201.0,9.0,28.0,,,,0.0008205438235700965,0.5128078772162594,match-ln,,3,11.0,11.0,11.0,17.5,24.0,1201.0,957.0,1079.0,1242.0,1283.0,28.0,27.0,27.5,28.5,29.0
A2_multiclassC_2refs_think_2to1_N50,A2,3,12.0,53,1211.0,10.0,32.0,,,,0.0004361744390904642,0.5048893848458335,match-ln,,3,12.0,10.0,11.0,16.5,21.0,1211.0,898.0,1054.5,1328.0,1445.0,32.0,25.0,28.5,35.5,39.0
A2_multiclassC_2refs_think_4to1_N20,A2,3,11.0,53,1122.0,10.0,28.0,,,,0.0026199704343522,0.5381638729913577,match-ln,,3,11.0,10.0,10.5,20.0,29.0,1122.0,970.0,1046.0,1210.5,1299.0,28.0,24.0,26.0,28.0,28.0
A2_multiclassC_2refs_think_4to1_N50,A2,3,11.0,53,1106.0,10.0,24.0,,,,0.0008745258894391715,0.5148586784218948,match-ln,,3,11.0,11.0,11.0,13.5,16.0,1106.0,961.0,1033.5,1192.0,1278.0,24.0,23.0,23.5,27.5,31.0
A3_multiserver_c2_loadHigh,A3,4,6.0,53,398.0,8.0,24.0,,,,1.1017551485745869e-08,0.1457646149235118,match-ln,,3,6.0,6.0,6.0,7.5,9.0,398.0,354.0,376.0,420.5,443.0,24.0,21.0,22.5,25.5,27.0
A3_multiserver_c2_loadLow,A3,4,6.0,53,499.0,6.0,24.0,,,,8.971813918930354e-09,0.051529154046421,match-ln,,3,6.0,5.0,5.5,8.0,10.0,499.0,350.0,424.5,518.0,537.0,24.0,21.0,22.5,25.0,26.0
A3_multiserver_c2_loadMedium,A3,4,6.0,53,405.0,7.0,24.0,,,,6.973386617755015e-09,0.1206191047796298,match-ln,,3,6.0,6.0,6.0,7.5,9.0,405.0,386.0,395.5,416.0,427.0,24.0,23.0,23.5,24.0,24.0
A3_multiserver_c4_loadHigh,A3,4,8.0,53,474.0,8.0,24.0,,,,1.672147850555455e-08,0.0084785750274522,match-ln,,3,8.0,8.0,8.0,8.5,9.0,474.0,419.0,446.5,521.5,569.0,24.0,23.0,23.5,30.0,36.0
A3_multiserver_c4_loadLow,A3,4,7.0,53,525.0,6.0,27.0,,,,8.843923331036364e-09,0.004301804436131,match-ln,,3,7.0,6.0,6.5,8.0,9.0,525.0,345.0,435.0,532.0,539.0,27.0,20.0,23.5,28.5,30.0
A3_multiserver_c4_loadMedium,A3,4,9.0,53,419.0,7.0,26.0,,,,1.1480981767115275e-08,0.0175702781362481,match-ln,,3,9.0,6.0,7.5,9.0,9.0,419.0,378.0,398.5,444.5,470.0,26.0,25.0,25.5,27.0,28.0
A3_multiserver_c8_loadHigh,A3,4,8.0,53,462.0,8.0,28.0,,,,1.6710729481066138e-08,0.0031266174369026,match-ln,,3,8.0,6.0,7.0,8.5,9.0,462.0,421.0,441.5,469.0,476.0,28.0,26.0,27.0,30.0,32.0
A3_multiserver_c8_loadLow,A3,4,8.0,53,714.0,6.0,40.0,,,,9.991293521755556e-09,0.0003037522938101944,match-ln,,3,8.0,7.0,7.5,8.5,9.0,714.0,678.0,696.0,720.0,726.0,40.0,39.0,39.5,41.5,43.0
A3_multiserver_c8_loadMedium,A3,4,7.0,53,446.0,7.0,26.0,,,,1.0734038792624973e-08,0.0098936429478925,match-ln,,3,7.0,7.0,7.0,8.0,9.0,446.0,404.0,425.0,456.5,467.0,26.0,23.0,24.5,26.0,26.0
A4_chainPlusFanout,A4,10,28.0,53,2615.0,9.0,29.0,,,,0.047621191697856,0.8144248448311985,match-ln,,3,28.0,18.0,23.0,29.5,31.0,2615.0,2477.0,2546.0,2963.0,3311.0,29.0,27.0,28.0,30.0,31.0
A4_databaseBackend,A4,4,18.0,53,900.0,9.0,34.0,,,,2.0254743326137843e-08,0.0235851894166232,match-ln,,3,18.0,11.0,14.5,18.5,19.0,900.0,871.0,885.5,1133.0,1366.0,34.0,28.0,31.0,35.5,37.0
A4_multiclass_multientry,A4,3,20.0,53,1348.0,9.0,24.0,,,,0.0029704995920316,0.7235758991816224,match-ln,,3,20.0,15.0,17.5,22.5,25.0,1348.0,1331.0,1339.5,1417.0,1486.0,24.0,21.0,22.5,26.0,28.0
A4_multiclass_multiserver,A4,3,13.0,53,1731.0,10.0,29.0,,,,0.0058931291162968,0.5744084108833205,match-ln,,3,13.0,11.0,12.0,14.5,16.0,1731.0,1655.0,1693.0,1877.0,2023.0,29.0,26.0,27.5,29.5,30.0
A4_parallelService_andFork,A4,3,146.0,53,10666.0,8.0,26.0,,,,0.000437719490573342,0.287388795999496,match-ln,,3,146.0,98.0,122.0,150.5,155.0,10666.0,10076.0,10371.0,10699.0,10732.0,26.0,23.0,24.5,28.0,30.0
A4_replyThenLog,A4,4,9.0,53,483.0,2.0,26.0,,,,0.0018695424034805,56.50000089026155,match-ln,,3,9.0,8.0,8.5,10.5,12.0,483.0,463.0,473.0,498.5,514.0,26.0,24.0,25.0,26.5,27.0
A4_retryLoop,A4,6,15.0,53,852.0,10.0,28.0,,,,8.492578803253992e-08,0.0309569254219812,match-ln,,3,15.0,12.0,13.5,16.0,17.0,852.0,847.0,849.5,941.0,1030.0,28.0,25.0,26.5,30.0,32.0
A4_threeTier_multiclass,A4,9,20.0,53,2246.0,13.0,27.0,,,,0.0014133495844144,0.97104845836163,match-ln,,3,20.0,18.0,19.0,23.0,26.0,2246.0,2157.0,2201.5,2262.5,2279.0,27.0,27.0,27.0,27.5,28.0
A4_threeTier_sequence,A4,5,18.0,53,950.0,6.0,30.0,,,,0.0397811024474311,0.8006248315313428,match-ln,,3,18.0,13.0,15.5,18.5,19.0,950.0,796.0,873.0,1020.0,1090.0,30.0,28.0,29.0,31.5,33.0
A4_webApplication,A4,5,22.0,53,2161.0,6.0,29.0,,,,1.8901380285144722e-08,0.8405786426363236,match-ln,,3,22.0,14.0,18.0,22.5,23.0,2161.0,1797.0,1979.0,2247.0,2333.0,29.0,25.0,27.0,31.0,33.0
A5_andForkMultiAct,A5,3,280.0,53,21699.0,8.0,33.0,,,,0.0004377249605331319,0.377201407899883,match-ln,,3,280.0,260.0,270.0,303.5,327.0,21699.0,15557.0,18628.0,22147.0,22595.0,33.0,23.0,28.0,33.0,33.0
A5_andForkThreeWay,A5,3,223.0,53,17077.0,9.0,30.0,,,,0.00023517507436495325,0.6615398234316313,match-ln,,3,223.0,221.0,222.0,244.0,265.0,17077.0,16132.0,16604.5,18615.5,20154.0,30.0,29.0,29.5,30.0,30.0
A5_combinedDag,A5,3,857.0,53,44362.0,,,,,,0.0098363473402069,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_d9782a89.lqnx:34: error: Symbol \,3,857.0,646.0,751.5,885.0,913.0,44362.0,41287.0,42824.5,47109.5,49857.0,,,,,
A5_orForkThreeWay,A5,4,11.0,53,464.0,8.0,56.0,,,,2.0262604272206423e-08,0.7933665833162645,match-ln,,3,11.0,9.0,10.0,11.0,11.0,464.0,444.0,454.0,555.5,647.0,56.0,55.0,55.5,62.5,69.0
A5_orForkUneven,A5,4,9.0,53,454.0,9.0,61.0,,,,2.0011112648583652e-08,0.6980805949372861,match-ln,,3,9.0,7.0,8.0,10.0,11.0,454.0,452.0,453.0,457.0,460.0,61.0,57.0,59.0,63.5,66.0
A5_replyAtBound,A5,4,9.0,53,422.0,2.0,28.0,,,,0.0134077024931806,44.00097130492573,match-ln,,3,9.0,7.0,8.0,9.5,10.0,422.0,415.0,418.5,430.5,439.0,28.0,24.0,26.0,29.0,30.0
A5_seqMultiEntry,A5,4,13.0,53,825.0,9.0,26.0,,,,1.7841518981792872e-08,0.5003417112128414,match-ln,,3,13.0,12.0,12.5,14.0,15.0,825.0,825.0,825.0,836.0,847.0,26.0,25.0,25.5,27.5,29.0
B_scaleAxis_tasks10_chain,B,4,38.0,53,5960.0,21.0,37.0,,,,0.00018220381141459863,0.0437117247319452,match-ln,,3,38.0,29.0,33.5,40.0,42.0,5960.0,5553.0,5756.5,6846.5,7733.0,37.0,35.0,36.0,39.5,42.0
B_scaleAxis_tasks10_fanout,B,13,91.0,53,8088.0,7.0,68.0,,,,0.4661943123010325,0.0479785255887179,match-lqns-only,,3,91.0,74.0,82.5,107.0,123.0,8088.0,7784.0,7936.0,9019.5,9951.0,68.0,63.0,65.5,76.0,84.0
B_scaleAxis_tasks20_chain,B,4,94.0,81,17999.0,34.0,64.0,,,,0.0045073405369682,0.0437125805319171,match-ln,,3,94.0,66.0,80.0,102.5,111.0,17999.0,17837.0,17918.0,18618.5,19238.0,64.0,62.0,63.0,77.5,91.0
B_scaleAxis_tasks20_fanout,B,13,533.0,81,40789.0,6.0,363.0,,,,0.5944015949902322,0.0300222834083157,match-lqns-only,,3,533.0,485.0,509.0,545.5,558.0,40789.0,38312.0,39550.5,48883.5,56978.0,363.0,293.0,328.0,404.5,446.0
B_scaleAxis_tasks40_chain,B,4,235.0,161,97384.0,50.0,152.0,,,,0.0022165153587857,0.0508898170687467,match-ln,,3,235.0,173.0,204.0,238.0,241.0,97384.0,79104.0,88244.0,102750.5,108117.0,152.0,130.0,141.0,157.0,162.0
B_scaleAxis_tasks40_fanout,B,13,3609.0,161,469590.0,6.0,3870.0,,,,0.7234326743937365,0.0212208248171868,match-lqns-only,,3,3609.0,3510.0,3559.5,3947.0,4285.0,469590.0,408092.0,438841.0,507297.5,545005.0,3870.0,3736.0,3803.0,4361.5,4853.0
B_scaleAxis_tasks5_chain,B,4,18.0,53,2799.0,14.0,28.0,,,,2.097064285383896e-05,0.0437117247319452,match-ln,,3,18.0,14.0,16.0,18.5,19.0,2799.0,2695.0,2747.0,2869.5,2940.0,28.0,27.0,27.5,29.5,31.0
B_scaleAxis_tasks5_fanout,B,13,28.0,53,3340.0,6.0,32.0,,,,0.2812295256942146,0.050978762641337,match-lqns-only,,3,28.0,20.0,24.0,32.0,36.0,3340.0,3216.0,3278.0,3558.5,3777.0,32.0,25.0,28.5,33.0,34.0
B_scaleAxis_tasks60_chain,B,4,470.0,201,209340.0,50.0,346.0,,,,0.0031649092312502,5.875000000000059,match-ln,,3,470.0,403.0,436.5,505.0,540.0,209340.0,191860.0,200600.0,211137.0,212934.0,346.0,290.0,318.0,357.0,368.0
B_scaleAxis_tasks60_fanout,B,11,13533.0,201,1776206.0,5.0,15968.0,,,,0.8084267892424358,0.03923097884857,match-lqns-only,,3,13533.0,13484.0,13508.5,13600.0,13667.0,1776206.0,1711901.0,1744053.5,2022421.5,2268637.0,15968.0,15394.0,15681.0,16100.5,16233.0
C1_fanOut2_caller_c1,C1,11,13.0,53,946.0,7.0,33.0,,,,0.2944236463737154,0.043683582679794,match-lqns-only,,3,13.0,11.0,12.0,13.5,14.0,946.0,846.0,896.0,948.5,951.0,33.0,31.0,32.0,33.0,33.0
C1_fanOut2_caller_c2,C1,11,12.0,53,1031.0,7.0,31.0,,,,0.2944236463737154,0.043683582679794,match-lqns-only,,3,12.0,11.0,11.5,12.0,12.0,1031.0,1003.0,1017.0,1041.5,1052.0,31.0,29.0,30.0,31.5,32.0
C1_fanOut3_caller_c1,C1,11,17.0,53,1216.0,8.0,30.0,,,,0.362586882962005,0.0422431309945937,match-lqns-only,,3,17.0,15.0,16.0,18.0,19.0,1216.0,1064.0,1140.0,1265.0,1314.0,30.0,27.0,28.5,33.0,36.0
C1_fanOut3_caller_c2,C1,11,19.0,53,1187.0,8.0,27.0,,,,0.362586882962005,0.0422431309945937,match-lqns-only,,3,19.0,14.0,16.5,19.0,19.0,1187.0,1033.0,1110.0,1271.0,1355.0,27.0,26.0,26.5,30.0,33.0
C1_fanOut4_caller_c1,C1,11,21.0,53,1420.0,7.0,25.0,,,,0.3032292953102441,0.040475329142133,match-lqns-only,,3,21.0,20.0,20.5,24.5,28.0,1420.0,1417.0,1418.5,1467.5,1515.0,25.0,24.0,24.5,26.0,27.0
C1_fanOut4_caller_c2,C1,11,21.0,53,1526.0,7.0,29.0,,,,0.3032292953102438,0.040475329142133,match-lqns-only,,3,21.0,19.0,20.0,23.5,26.0,1526.0,1440.0,1483.0,1532.0,1538.0,29.0,28.0,28.5,29.5,30.0
C2_infTaskDeep,C2,3,12.0,53,1855.0,2.0,25.0,,,,4.6306999344064256e-08,3.3333222224488625e-06,match-ln,,3,12.0,12.0,12.0,12.0,12.0,1855.0,1775.0,1815.0,1898.0,1941.0,25.0,25.0,25.0,26.0,27.0
C2_infTaskShared,C2,3,10.0,53,1478.0,2.0,35.0,,,,2.302832266837812e-08,0.5689648060337715,match-ln,,3,10.0,10.0,10.0,11.0,12.0,1478.0,1439.0,1458.5,1486.5,1495.0,35.0,34.0,34.5,37.5,40.0
C2_infTaskSimple,C2,3,5.0,53,570.0,2.0,31.0,,,,1.4814814737485249e-08,9.285705665903516e-07,match-ln,,3,5.0,5.0,5.0,6.0,7.0,570.0,570.0,570.0,592.5,615.0,31.0,29.0,30.0,33.0,35.0
C3_multiclassMultiEntry_2refs,C3,3,11.0,53,762.0,9.0,28.0,,,,0.0017895176634592,0.5859452394405024,match-ln,,3,11.0,10.0,10.5,11.0,11.0,762.0,720.0,741.0,810.5,859.0,28.0,24.0,26.0,30.5,33.0
C3_multiclassMultiEntry_3refs,C3,3,16.0,53,1325.0,9.0,24.0,,,,0.0178380300390961,0.7376201096776086,match-ln,,3,16.0,15.0,15.5,17.5,19.0,1325.0,1266.0,1295.5,1339.0,1353.0,24.0,23.0,23.5,27.0,30.0
C3_multiclassMultiEntry_asymmetric,C3,3,12.0,53,1128.0,10.0,31.0,,,,0.0031854540870217,0.9583581602284748,match-ln,,3,12.0,9.0,10.5,13.0,14.0,1128.0,951.0,1039.5,1164.0,1200.0,31.0,29.0,30.0,36.5,42.0
C4_lowDemand,C4,4,6.0,53,462.0,6.0,30.0,,,,1.5234253431667418e-07,1.268443176378402e-06,match-ln,,3,6.0,5.0,5.5,6.5,7.0,462.0,458.0,460.0,495.0,528.0,30.0,30.0,30.0,31.5,33.0
C4_nearSaturation,C4,4,6.0,53,658.0,12.0,23.0,,,,0.0232621201709235,0.0479859966393551,match-ln,,3,6.0,5.0,5.5,6.5,7.0,658.0,618.0,638.0,804.5,951.0,23.0,23.0,23.0,25.5,28.0
C4_predicateThreshold,C4,3,7.0,53,411.0,5.0,26.0,,,,1.3333333282048428e-08,0.0006522179157513855,match-ln,,3,7.0,5.0,6.0,7.0,7.0,411.0,354.0,382.5,442.5,474.0,26.0,24.0,25.0,28.0,30.0
C5_satFanoutCaller_w2,C5,29,16.0,62,3381.0,26.0,28.0,,,,0.5461559963276738,0.1228111070549745,match-neither,,3,16.0,14.0,15.0,18.5,21.0,3381.0,3047.0,3214.0,3409.5,3438.0,28.0,27.0,27.5,33.0,38.0
C5_satFanoutCaller_w3,C5,29,23.0,65,4535.0,29.0,32.0,,,,0.5159597384104402,0.1598195943222568,match-neither,,3,23.0,23.0,23.0,27.5,32.0,4535.0,4282.0,4408.5,4996.5,5458.0,32.0,31.0,31.5,33.0,34.0
C5_satFanoutCaller_w4,C5,35,33.0,74,6901.0,31.0,43.0,,,,0.4428015193652048,0.1298347683942246,match-neither,,3,33.0,32.0,32.5,36.5,40.0,6901.0,6648.0,6774.5,6905.0,6909.0,43.0,41.0,42.0,49.0,55.0
C5_satFanout_tasks10,C5,19,93.0,85,17252.0,12.0,121.0,,,,0.4675063808582269,0.0458535469470251,match-lqns-only,,3,93.0,82.0,87.5,95.5,98.0,17252.0,17086.0,17169.0,17686.5,18121.0,121.0,119.0,120.0,124.0,127.0
C5_satFanout_tasks20,C5,13,445.0,81,38302.0,7.0,391.0,,,,0.6054241421406608,0.0356334249111311,match-lqns-only,,3,445.0,407.0,426.0,486.5,528.0,38302.0,38001.0,38151.5,40363.5,42425.0,391.0,388.0,389.5,397.5,404.0
C5_satFanout_tasks5,C5,43,28.0,81,8607.0,42.0,48.0,,,,0.4406707142563388,0.0771427692334984,match-lqns-only,,3,28.0,25.0,26.5,30.0,32.0,8607.0,8405.0,8506.0,8640.5,8674.0,48.0,46.0,47.0,56.0,64.0
C6_andForkPsHost,C6,4,138.0,53,14129.0,50.0,36.0,,,,0.3616707727088761,0.5448912419447614,match-neither,,3,138.0,111.0,124.5,147.0,156.0,14129.0,14105.0,14117.0,14209.0,14289.0,36.0,35.0,35.5,38.0,40.0
C6_multiclassAndFork,C6,3,495.0,53,30800.0,8.0,40.0,,,,1.0761322450827713,0.749421900459553,match-neither,,3,495.0,383.0,439.0,499.0,503.0,30800.0,28300.0,29550.0,31154.0,31508.0,40.0,32.0,36.0,40.5,41.0
C7_deepChainAllExp,C7,8,20.0,56,2156.0,50.0,35.0,,,,1.3595630692004566,3.302650781745132,match-neither,,3,20.0,14.0,17.0,20.5,21.0,2156.0,1760.0,1958.0,2185.5,2215.0,35.0,30.0,32.5,35.0,35.0
C7_deepChainMultiCall,C7,7,17.0,53,1317.0,14.0,24.0,,,,0.3283672020117245,0.9966101615627666,match-neither,,3,17.0,12.0,14.5,18.5,20.0,1317.0,1231.0,1274.0,1426.5,1536.0,24.0,22.0,23.0,27.0,30.0
